"matchDay","nameHomeClub","nameHomeClubShort","nameAwayClub","nameAwayClubShort","date","shortDate","status","goalsHomeClub","goalsAwayClub"
"10","FC Bayern München","FCB","TSG 1899 Hoffenheim","HOF","Sa, 05. November 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"10","Hamburger SV","HSV","Borussia Dortmund","BVB","Sa, 05. November 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"10","FC Ingolstadt 04","FCI","FC Augsburg","FCA","Sa, 05. November 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"10","SC Freiburg","SCF","VfL Wolfsburg","WOB","Sa, 05. November 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"10","Eintracht Frankfurt","SGE","1. FC Köln","KOE","Sa, 05. November 2016 - 18:30","Sa 18:30","SCHEDULED","-","-"
"10","Red Bull Leipzig","RBL","1. FSV Mainz 05","M05","So, 06. November 2016 - 15:30","So 15:30","SCHEDULED","-","-"
"10","FC Schalke 04","S04","SV Werder Bremen","BRE","So, 06. November 2016 - 17:30","So 17:30","SCHEDULED","-","-"
"11","Bayer 04 Leverkusen","LEV","Red Bull Leipzig","RBL","Fr, 18. November 2016 - 20:30","Fr 20:30","SCHEDULED","-","-"
"11","FC Augsburg","FCA","Hertha BSC","BSC","Sa, 19. November 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"11","1. FSV Mainz 05","M05","SC Freiburg","SCF","Sa, 19. November 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"11","Borussia Mönchengladbach","BMG","1. FC Köln","KOE","Sa, 19. November 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"11","SV Darmstadt 98","DAR","FC Ingolstadt 04","FCI","Sa, 19. November 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"11","VfL Wolfsburg","WOB","FC Schalke 04","S04","Sa, 19. November 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"11","Borussia Dortmund","BVB","FC Bayern München","FCB","Sa, 19. November 2016 - 18:30","Sa 18:30","SCHEDULED","-","-"
"11","TSG 1899 Hoffenheim","HOF","Hamburger SV","HSV","So, 20. November 2016 - 15:30","So 15:30","SCHEDULED","-","-"
"11","SV Werder Bremen","BRE","Eintracht Frankfurt","SGE","So, 20. November 2016 - 17:30","So 17:30","SCHEDULED","-","-"
"12","SC Freiburg","SCF","Red Bull Leipzig","RBL","Fr, 25. November 2016 - 20:30","Fr 20:30","SCHEDULED","-","-"
"12","Borussia Mönchengladbach","BMG","TSG 1899 Hoffenheim","HOF","Sa, 26. November 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"12","Eintracht Frankfurt","SGE","Borussia Dortmund","BVB","Sa, 26. November 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"12","Hamburger SV","HSV","SV Werder Bremen","BRE","Sa, 26. November 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"12","FC Ingolstadt 04","FCI","VfL Wolfsburg","WOB","Sa, 26. November 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"12","1. FC Köln","KOE","FC Augsburg","FCA","Sa, 26. November 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"12","FC Bayern München","FCB","Bayer 04 Leverkusen","LEV","Sa, 26. November 2016 - 18:30","Sa 18:30","SCHEDULED","-","-"
"12","FC Schalke 04","S04","SV Darmstadt 98","DAR","So, 27. November 2016 - 15:30","So 15:30","SCHEDULED","-","-"
"12","Hertha BSC","BSC","1. FSV Mainz 05","M05","So, 27. November 2016 - 17:30","So 17:30","SCHEDULED","-","-"
"13","FC Augsburg","FCA","Eintracht Frankfurt","SGE","So, 04. Dezember 2016 - 17:30","So 17:30","SCHEDULED","-","-"
"13","Borussia Dortmund","BVB","Borussia Mönchengladbach","BMG","Sa, 03. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"13","Bayer 04 Leverkusen","LEV","SC Freiburg","SCF","Sa, 03. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"13","SV Darmstadt 98","DAR","Hamburger SV","HSV","So, 04. Dezember 2016 - 15:30","So 15:30","SCHEDULED","-","-"
"13","TSG 1899 Hoffenheim","HOF","1. FC Köln","KOE","Sa, 03. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"13","1. FSV Mainz 05","M05","FC Bayern München","FCB","Fr, 02. Dezember 2016 - 20:30","Fr 20:30","SCHEDULED","-","-"
"13","Red Bull Leipzig","RBL","FC Schalke 04","S04","Sa, 03. Dezember 2016 - 18:30","Sa 18:30","SCHEDULED","-","-"
"13","SV Werder Bremen","BRE","FC Ingolstadt 04","FCI","Sa, 03. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"13","VfL Wolfsburg","WOB","Hertha BSC","BSC","Sa, 03. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"14","FC Bayern München","FCB","VfL Wolfsburg","WOB","Sa, 10. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"14","Borussia Mönchengladbach","BMG","1. FSV Mainz 05","M05","So, 11. Dezember 2016 - 15:30","So 15:30","SCHEDULED","-","-"
"14","Eintracht Frankfurt","SGE","TSG 1899 Hoffenheim","HOF","Fr, 09. Dezember 2016 - 20:30","Fr 20:30","SCHEDULED","-","-"
"14","SC Freiburg","SCF","SV Darmstadt 98","DAR","Sa, 10. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"14","Hamburger SV","HSV","FC Augsburg","FCA","Sa, 10. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"14","Hertha BSC","BSC","SV Werder Bremen","BRE","Sa, 10. Dezember 2016 - 18:30","Sa 18:30","SCHEDULED","-","-"
"14","FC Ingolstadt 04","FCI","Red Bull Leipzig","RBL","Sa, 10. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"14","1. FC Köln","KOE","Borussia Dortmund","BVB","Sa, 10. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"14","FC Schalke 04","S04","Bayer 04 Leverkusen","LEV","So, 11. Dezember 2016 - 17:30","So 17:30","SCHEDULED","-","-"
"15","FC Augsburg","FCA","Borussia Mönchengladbach","BMG","Sa, 17. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"15","Bayer 04 Leverkusen","LEV","FC Ingolstadt 04","FCI","So, 18. Dezember 2016 - 17:30","So 17:30","SCHEDULED","-","-"
"15","SV Darmstadt 98","DAR","FC Bayern München","FCB","So, 18. Dezember 2016 - 15:30","So 15:30","SCHEDULED","-","-"
"15","TSG 1899 Hoffenheim","HOF","Borussia Dortmund","BVB","Fr, 16. Dezember 2016 - 20:30","Fr 20:30","SCHEDULED","-","-"
"15","1. FSV Mainz 05","M05","Hamburger SV","HSV","Sa, 17. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"15","Red Bull Leipzig","RBL","Hertha BSC","BSC","Sa, 17. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"15","FC Schalke 04","S04","SC Freiburg","SCF","Sa, 17. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"15","SV Werder Bremen","BRE","1. FC Köln","KOE","Sa, 17. Dezember 2016 - 15:30","Sa 15:30","SCHEDULED","-","-"
"15","VfL Wolfsburg","WOB","Eintracht Frankfurt","SGE","Sa, 17. Dezember 2016 - 18:30","Sa 18:30","SCHEDULED","-","-"
"16","FC Bayern München","FCB","Red Bull Leipzig","RBL","Mi, 21. Dezember 2016 - 20:00","Mi 20:00","SCHEDULED","-","-"
"16","Borussia Dortmund","BVB","FC Augsburg","FCA","Di, 20. Dezember 2016 - 20:00","Di 20:00","SCHEDULED","-","-"
"16","Borussia Mönchengladbach","BMG","VfL Wolfsburg","WOB","Di, 20. Dezember 2016 - 20:00","Di 20:00","SCHEDULED","-","-"
"16","Eintracht Frankfurt","SGE","1. FSV Mainz 05","M05","Di, 20. Dezember 2016 - 20:00","Di 20:00","SCHEDULED","-","-"
"16","Hamburger SV","HSV","FC Schalke 04","S04","Di, 20. Dezember 2016 - 20:00","Di 20:00","SCHEDULED","-","-"
"16","Hertha BSC","BSC","SV Darmstadt 98","DAR","Mi, 21. Dezember 2016 - 20:00","Mi 20:00","SCHEDULED","-","-"
"16","TSG 1899 Hoffenheim","HOF","SV Werder Bremen","BRE","Mi, 21. Dezember 2016 - 20:00","Mi 20:00","SCHEDULED","-","-"
"16","FC Ingolstadt 04","FCI","SC Freiburg","SCF","Mi, 21. Dezember 2016 - 20:00","Mi 20:00","SCHEDULED","-","-"
